run,point,Vtip_fps,Mtip,collective75_deg,CT_exp,CP_exp,FM_exp,formalRun,inheritedReportWindow,stage5Selected,selectionReason
1,1,596.9,0.5301,-3.7,0.00252,0.000215,0.4162,1,0,0,OUTSIDE_STAGE5
1,2,596.9,0.5301,-2,0.003539,0.000268,0.5554,1,0,0,OUTSIDE_STAGE5
1,3,598.2,0.5312,0,0.00502,0.000359,0.701,1,0,0,OUTSIDE_STAGE5
1,4,595.6,0.5289,2,0.00689,0.000502,0.8059,1,0,0,OUTSIDE_STAGE5
1,5,599.5,0.5324,4,0.008604,0.000671,0.8407,1,0,0,OUTSIDE_STAGE5
1,6,600.8,0.5336,6,0.010432,0.000869,0.8671,1,1,1,INHERITED_FIXED_6_TO_11_DEG_ALL_AVAILABLE_POINTS_NO_INTERPOLATION
1,7,598.2,0.5312,8,0.011924,0.001131,0.8138,1,1,1,INHERITED_FIXED_6_TO_11_DEG_ALL_AVAILABLE_POINTS_NO_INTERPOLATION
1,8,596.9,0.5301,9,0.012921,0.001285,0.8083,1,1,1,INHERITED_FIXED_6_TO_11_DEG_ALL_AVAILABLE_POINTS_NO_INTERPOLATION
1,9,595.6,0.5289,10,0.013464,0.001412,0.7825,1,1,1,INHERITED_FIXED_6_TO_11_DEG_ALL_AVAILABLE_POINTS_NO_INTERPOLATION
1,10,595.6,0.5289,11,0.01456,0.001592,0.7802,1,1,1,INHERITED_FIXED_6_TO_11_DEG_ALL_AVAILABLE_POINTS_NO_INTERPOLATION
1,11,599.5,0.5324,12,0.014923,0.001736,0.7425,1,0,0,OUTSIDE_STAGE5
1,12,600.8,0.5336,13,0.015397,0.001929,0.7003,1,0,0,OUTSIDE_STAGE5
1,13,598.2,0.5312,14,0.015642,0.002201,0.6285,1,0,0,OUTSIDE_STAGE5
2,1,700.3,0.6219,-3.7,0.002608,0.000214,0.44,1,0,0,OUTSIDE_STAGE5
2,2,699,0.6207,-2,0.003608,0.000262,0.5847,1,0,0,OUTSIDE_STAGE5
2,3,700.3,0.6219,0,0.005253,0.000365,0.7376,1,0,0,OUTSIDE_STAGE5
2,4,697.7,0.6196,2,0.006747,0.000504,0.7782,1,0,0,OUTSIDE_STAGE5
2,5,700.3,0.6219,4,0.008494,0.000664,0.8338,1,0,0,OUTSIDE_STAGE5
2,6,699,0.6207,6,0.010897,0.000942,0.8536,1,1,1,INHERITED_FIXED_6_TO_11_DEG_ALL_AVAILABLE_POINTS_NO_INTERPOLATION
2,7,701.6,0.6231,8,0.012537,0.001205,0.824,1,1,1,INHERITED_FIXED_6_TO_11_DEG_ALL_AVAILABLE_POINTS_NO_INTERPOLATION
2,8,701.6,0.6231,9,0.01324,0.001295,0.8321,1,1,1,INHERITED_FIXED_6_TO_11_DEG_ALL_AVAILABLE_POINTS_NO_INTERPOLATION
2,9,701.6,0.6231,10,0.014012,0.001497,0.7838,1,1,1,INHERITED_FIXED_6_TO_11_DEG_ALL_AVAILABLE_POINTS_NO_INTERPOLATION
2,10,702.9,0.6242,11,0.014694,0.001674,0.7524,1,1,1,INHERITED_FIXED_6_TO_11_DEG_ALL_AVAILABLE_POINTS_NO_INTERPOLATION
2,11,699,0.6207,12,0.015178,0.001936,0.6832,1,0,0,OUTSIDE_STAGE5
2,12,702.9,0.6242,13,0.015673,0.002076,0.6685,1,0,0,OUTSIDE_STAGE5
3,1,739.6,0.6624,-3.7,0.00268,0.000219,0.448,1,0,0,OUTSIDE_STAGE5
3,2,739.6,0.6624,-2,0.003615,0.000273,0.5639,1,0,0,OUTSIDE_STAGE5
3,3,742.2,0.6648,0,0.00528,0.000377,0.7199,1,0,0,OUTSIDE_STAGE5
3,4,742.2,0.6648,2,0.007026,0.000519,0.803,1,0,0,OUTSIDE_STAGE5
3,5,739.6,0.6624,4,0.00896,0.000703,0.8525,1,0,0,OUTSIDE_STAGE5
3,6,742.2,0.6648,6,0.010707,0.000948,0.826,1,1,1,INHERITED_FIXED_6_TO_11_DEG_ALL_AVAILABLE_POINTS_NO_INTERPOLATION
3,7,743.5,0.666,8,0.012856,0.001213,0.8499,1,1,1,INHERITED_FIXED_6_TO_11_DEG_ALL_AVAILABLE_POINTS_NO_INTERPOLATION
3,8,739.6,0.6624,9,0.013579,0.001388,0.8059,1,1,1,INHERITED_FIXED_6_TO_11_DEG_ALL_AVAILABLE_POINTS_NO_INTERPOLATION
3,9,740.9,0.6636,10,0.01404,0.001514,0.7768,1,1,1,INHERITED_FIXED_6_TO_11_DEG_ALL_AVAILABLE_POINTS_NO_INTERPOLATION
3,10,740.9,0.6636,11,0.014809,0.001686,0.756,1,1,1,INHERITED_FIXED_6_TO_11_DEG_ALL_AVAILABLE_POINTS_NO_INTERPOLATION
3,11,740.9,0.6636,12,0.015394,0.001948,0.6935,1,0,0,OUTSIDE_STAGE5
3,12,740.9,0.6636,12,0.015087,0.001868,0.7016,1,0,0,OUTSIDE_STAGE5
